Amount.Requested,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
61576,18550,18525,0.079,36,debt_consolidation,16.93%,GA,MORTGAGE,5416.67,725-729,10,28877,0,3 years,725
21993,7450,7450,0.1306,36,debt_consolidation,3.30%,WA,MORTGAGE,5883.33,710-714,2,6416,1,10+ years,710
58359,3225,3225,0.0762,36,debt_consolidation,17.79%,CA,MORTGAGE,5833.33,760-764,5,70323,1,10+ years,760
67335,23675,23675,0.1777,36,credit_card,29.94%,PA,OWN,6399,680-684,21,21920,0,10+ years,680
57080,12000,12000,0.1212,36,debt_consolidation,18.62%,VA,RENT,5833.33,690-694,16,18838,0,10+ years,690
30035,25000,25000,0.1649,36,debt_consolidation,18.18%,MA,RENT,6000,695-699,9,10630,2,7 years,695
103948,16000,15850,0.1112,36,credit_card,17.86%,CA,MORTGAGE,6666.67,725-729,7,18659,4,5 years,725
96659,4200,4175,0.089,36,car,10.16%,NC,MORTGAGE,3041.67,810-814,4,1548,0,10+ years,810
67158,10000,10000,0.1409,36,debt_consolidation,21.45%,CO,RENT,4583.33,675-679,11,8548,0,6 years,675
33777,6000,6000,0.0751,36,home_improvement,2.52%,NJ,MORTGAGE,4800,750-754,4,1442,0,10+ years,750
59724,6000,6000,0.1311,36,debt_consolidation,15.33%,KS,RENT,3333.33,685-689,7,12503,2,2 years,685
95096,7925,7925,0.1629,36,debt_consolidation,21.25%,GA,RENT,2000,665-669,6,7840,0,6 years,665
67629,16000,15925,0.0762,36,debt_consolidation,6.48%,IL,MORTGAGE,6000,765-769,8,19539,0,n/a,765
51929,9525,9500,0.1581,36,small_business,11.35%,CA,RENT,2666.67,670-674,15,5610,1,n/a,670
13216,6000,6000,0.1435,36,debt_consolidation,14.08%,IL,MORTGAGE,2500,675-679,9,3621,3,< 1 year,675
103405,10000,9975,0.1496,36,debt_consolidation,11.50%,FL,MORTGAGE,5250,675-679,4,3035,5,2 years,675
53271,7000,7000,0.0662,36,major_purchase,8.03%,NM,MORTGAGE,10000,750-754,9,6761,1,6 years,750
25380,4500,4500,0.0599,36,debt_consolidation,18.48%,CA,MORTGAGE,10000,765-769,18,17863,3,6 years,765
6987,12000,12000,0.1114,36,debt_consolidation,2.37%,MD,MORTGAGE,12500,735-739,13,10944,0,5 years,735
96413,10375,10375,0.1972,36,debt_consolidation,4.99%,CT,RENT,4166.67,665-669,9,6122,1,5 years,665
88273,4800,4800,0.1875,36,other,10.89%,NM,MORTGAGE,5833.33,670-674,8,17943,0,10+ years,670
48519,6400,6400,0.1311,36,credit_card,11.46%,LA,MORTGAGE,4666.67,700-704,7,8942,1,10+ years,700
69456,5000,5000,0.079,36,debt_consolidation,17.22%,CA,OWN,4000,705-709,10,6023,0,10+ years,705
41198,12000,12000,0.0662,36,credit_card,21.66%,NC,RENT,5250,740-744,11,20639,0,< 1 year,740
44282,23850,23820.25,0.2148,60,other,18.75%,NY,MORTGAGE,4250,690-694,23,37251,0,4 years,690
34122,15000,15000,0.1065,36,small_business,16.15%,OH,MORTGAGE,7083.33,720-724,14,338,2,9 years,720
84563,8000,8000,0.0762,36,other,0%,NC,MORTGAGE,3500,765-769,7,0,1,n/a,765
98634,20000,20000,0.0603,36,credit_card,18.67%,FL,MORTGAGE,14583.33,715-719,9,29044,0,7 years,715
73526,20000,19975,0.1311,36,debt_consolidation,15.09%,NC,RENT,8233.33,710-714,17,29756,2,< 1 year,710
82476,10000,10000,0.1409,36,debt_consolidation,10.59%,CA,RENT,2916.67,690-694,9,10390,3,< 1 year,690
67263,18825,18825,0.1409,36,credit_card,13.08%,MI,RENT,4000,710-714,6,20694,1,4 years,710
41267,35000,34975,0.079,36,small_business,1.59%,IL,RENT,18333.33,775-779,10,1992,0,1 year,775
64884,9000,9000,0.0603,36,vacation,5.58%,NJ,MORTGAGE,9583.33,815-819,11,675,0,n/a,815
18452,4000,4000,0.0617,36,home_improvement,15%,CT,RENT,4234,745-749,5,587,1,2 years,745
57866,5750,5750,0.1399,36,credit_card,12.44%,CA,RENT,5000,660-664,13,12465,0,10+ years,660
77151,20950,20950,0.158,36,debt_consolidation,15.71%,MA,MORTGAGE,12916.67,690-694,8,30188,1,4 years,690
25405,8000,8000,0.1099,36,credit_card,14.76%,NY,RENT,7500,710-714,9,7120,2,< 1 year,710
85644,10000,10000,0.1016,36,debt_consolidation,9.30%,TX,MORTGAGE,3333.33,725-729,8,8940,2,n/a,725
85686,10000,10000,0.1409,36,small_business,14.76%,NY,RENT,5000,675-679,7,4762,0,4 years,675
54649,14000,14000,0.0603,36,credit_card,19.53%,CT,MORTGAGE,6000,765-769,13,4140,0,8 years,765
19069,5000,5000,0.0766,36,credit_card,3.33%,RI,RENT,9000,735-739,3,12297,0,10+ years,735
74479,25000,25000,0.1905,60,debt_consolidation,10.53%,IL,MORTGAGE,6250,700-704,8,15159,1,9 years,700
76693,35000,35000,0.089,36,debt_consolidation,14.62%,CA,RENT,10416.67,735-739,9,21321,0,10+ years,735
63266,7200,7175,0.1114,36,debt_consolidation,27.89%,OK,MORTGAGE,3750,690-694,8,20342,0,10+ years,690
32008,14000,14000,0.0849,60,debt_consolidation,9.89%,CA,MORTGAGE,9000,760-764,17,23773,0,4 years,760
13996,15000,14975,0.1521,36,debt_consolidation,19.10%,TX,RENT,5132,680-684,4,34044,1,3 years,680
80638,25000,25000,0.1972,60,debt_consolidation,32.10%,NY,OWN,4916.67,695-699,21,35208,1,7 years,695
36889,10800,10800,0.1465,36,debt_consolidation,7.89%,CA,RENT,9583.33,675-679,6,6487,1,< 1 year,675
72169,20000,20000,0.1433,36,credit_card,21.44%,GA,MORTGAGE,6250,700-704,9,14268,1,9 years,700
19548,4000,4000,0.1074,36,debt_consolidation,1.97%,KS,RENT,2900,695-699,13,1869,1,n/a,695
103357,16000,15950,0.157,36,debt_consolidation,23.51%,OH,MORTGAGE,9333.33,675-679,20,12721,5,10+ years,675
59117,1400,1400,0.0976,36,vacation,27.14%,NV,MORTGAGE,4683.33,730-734,6,6466,0,2 years,730
15427,7500,7500,0.1632,36,debt_consolidation,12.54%,CA,MORTGAGE,4600,665-669,3,6120,0,2 years,665
224,24625,917.28,0.1407,36,credit_card,12.81%,NY,MORTGAGE,10000,675-679,14,33698,0,8 years,675
85618,5000,5000,0.1409,36,debt_consolidation,29.02%,FL,MORTGAGE,5416.67,680-684,11,3977,1,< 1 year,680
43436,25000,24975,0.0991,36,debt_consolidation,20.49%,NY,RENT,7916.67,725-729,14,27203,0,1 year,725
19328,7500,7500,0.164,36,debt_consolidation,13.34%,CA,RENT,4166.67,660-664,8,7430,0,< 1 year,660
65134,34500,34450,0.0662,36,small_business,16.46%,CA,MORTGAGE,10000,805-809,8,5317,0,9 years,805
20263,10000,10000,0.0579,36,debt_consolidation,6.49%,GA,MORTGAGE,12500,745-749,17,75629,0,1 year,745
9194,3200,3200,0.0988,36,debt_consolidation,6.51%,MA,RENT,4500,740-744,7,3198,0,5 years,740
27520,5500,5500,0.1599,60,debt_consolidation,17.95%,RI,RENT,4250,700-704,16,13256,0,10+ years,700
45941,3000,3000,0.0976,36,debt_consolidation,21.82%,VA,OWN,1100,720-724,4,2413,0,n/a,720
69242,18000,18000,0.2328,60,debt_consolidation,9.05%,WI,RENT,7083.33,660-664,6,13106,0,10+ years,660
2633,10000,9700,0.0963,36,debt_consolidation,13.77%,OK,MORTGAGE,4190,735-739,6,1251,1,< 1 year,735
48662,8800,8800,0.1311,36,credit_card,16.73%,WI,RENT,3150.25,700-704,13,14266,1,4 years,700
65775,7000,7000,0.1114,36,debt_consolidation,23.02%,TX,MORTGAGE,6000,705-709,17,19634,2,6 years,705
92773,8000,8000,0.1311,36,debt_consolidation,19.01%,AK,RENT,2625,725-729,8,7554,1,5 years,725
33161,3000,3000,0.1727,36,credit_card,16.62%,SC,RENT,3833.33,660-664,4,4136,0,n/a,660
37985,12000,11975,0.0751,36,debt_consolidation,11.91%,MD,RENT,7500,735-739,18,33702,1,10+ years,735
2791,3600,3575,0.1411,36,small_business,0.04%,WI,RENT,2500,725-729,4,1,0,3 years,725
81950,11625,11625,0.1433,36,debt_consolidation,22.84%,NY,MORTGAGE,2833.33,705-709,6,27411,2,8 years,705
84215,30000,30000,0.2149,36,credit_card,16.70%,MD,MORTGAGE,12500,670-674,14,19096,2,9 years,670
93352,16000,16000,0.089,36,debt_consolidation,19.71%,CO,RENT,7083.33,720-724,11,6185,1,4 years,720
10474,10800,10700,0.1075,36,major_purchase,15.32%,FL,MORTGAGE,8400,715-719,6,24675,0,10+ years,715
15717,25000,23655.48,0.1669,60,debt_consolidation,14.11%,CO,MORTGAGE,7666.67,705-709,15,28748,3,8 years,705
103874,10000,10000,0.1398,60,other,14.86%,MO,RENT,3916.67,710-714,9,5188,4,4 years,710
132,12375,275,0.1091,36,small_business,16.39%,VA,MORTGAGE,3892.75,690-694,11,8332,2,3 years,690
5169,6000,6000,0.1148,36,credit_card,18.20%,NY,MORTGAGE,5031.67,705-709,9,50935,0,10+ years,705
29812,8000,8000,0.1349,36,debt_consolidation,14.92%,CO,RENT,5000,685-689,18,4786,1,2 years,685
56991,15000,15000,0.1825,36,credit_card,9.73%,GA,MORTGAGE,5000,660-664,11,14596,0,8 years,660
62537,7000,7000,0.1777,36,other,32.25%,NY,RENT,3333.33,665-669,12,35604,3,7 years,665
22858,8400,8400,0.0692,36,renewable_energy,13.30%,MD,RENT,3000,745-749,9,6998,1,1 year,745
78602,15000,15000,0.079,36,debt_consolidation,18.62%,PA,MORTGAGE,4500,740-744,10,17212,0,7 years,740
93778,15000,14925,0.1433,36,debt_consolidation,13.30%,TX,RENT,5000,665-669,7,11368,1,< 1 year,665
87504,2800,2800,0.1016,36,major_purchase,12%,NY,RENT,2083.33,695-699,7,7261,0,< 1 year,695
92105,7750,7750,0.1629,36,debt_consolidation,26.74%,FL,MORTGAGE,2916.67,680-684,18,17102,0,5 years,680
59387,4500,4500,0.089,36,credit_card,18.18%,UT,RENT,2166.67,700-704,8,5361,0,4 years,700
6067,17500,17375,0.1253,36,debt_consolidation,21.63%,CO,RENT,3666.67,715-719,7,20010,0,6 years,715
62445,18000,18000,0.1531,60,debt_consolidation,4.93%,CA,RENT,5258.5,710-714,6,11596,0,10+ years,710
35834,15000,14975,0.1527,60,debt_consolidation,17.90%,PA,MORTGAGE,2748,720-724,14,7956,1,6 years,720
24320,6000,6000,0.1523,36,credit_card,19.57%,KS,OWN,4583.33,665-669,13,8077,1,1 year,665
68821,11500,11475,0.1114,36,credit_card,28.25%,CA,RENT,2750,700-704,6,9079,0,5 years,700
96988,10000,10000,0.1311,36,credit_card,7.56%,PA,RENT,2500,685-689,8,10906,0,7 years,685
47002,12000,12000,0.089,36,credit_card,12.46%,MD,RENT,5000,725-729,5,13940,0,10+ years,725
53897,10000,10000,0.1212,36,debt_consolidation,18.40%,CA,MORTGAGE,5000,685-689,7,13202,0,10+ years,685
40136,35000,34975,0.2128,60,debt_consolidation,18.21%,AL,RENT,7916.67,680-684,8,19789,2,10+ years,680
14952,7200,7100,0.1038,60,major_purchase,17.97%,PA,RENT,3000,750-754,7,2753,1,2 years,750
40856,4000,3975,0.079,60,car,4.48%,TX,OWN,4000,800-804,16,6696,0,< 1 year,800
4938,5300,5200,0.1114,36,debt_consolidation,8.47%,UT,MORTGAGE,8333.33,740-744,5,73258,1,3 years,740
59272,1200,1200,0.0762,36,other,8.69%,NY,MORTGAGE,3833.33,730-734,14,350,1,7 years,730
80512,2500,2500,0.1114,36,major_purchase,10.08%,CA,RENT,4333.33,720-724,4,4922,0,3 years,720
82071,17000,16975,0.1433,36,debt_consolidation,26.35%,MN,OWN,7500,700-704,21,39130,3,10+ years,700
90748,16000,16000,0.079,36,credit_card,12.30%,CA,MORTGAGE,8416.67,695-699,14,21913,1,5 years,695
42319,10000,9950,0.1269,36,debt_consolidation,3.80%,CA,MORTGAGE,6666.67,695-699,8,7967,1,3 years,695
81914,5000,5000,0.1016,36,debt_consolidation,24.50%,AL,MORTGAGE,6250,700-704,9,33705,0,6 years,700
97954,4375,4375,0.1905,36,credit_card,9.09%,CA,RENT,2916.67,670-674,9,6944,2,6 years,670
41074,8500,8475,0.0603,36,home_improvement,12.33%,MO,MORTGAGE,6100,745-749,17,6370,0,10+ years,745
30600,12000,12000,0.1689,60,small_business,15.24%,OH,MORTGAGE,7500,675-679,14,28589,2,3 years,675
4909,6200,6100,0.0859,36,other,19.10%,WI,RENT,5000,740-744,17,9367,0,1 year,740
63340,7000,7000,0.1849,36,debt_consolidation,18.90%,AR,MORTGAGE,2000,660-664,10,7315,2,1 year,660
35313,20800,20800,0.1269,60,debt_consolidation,7.08%,GA,MORTGAGE,6541.67,730-734,9,13197,0,1 year,730
45225,19200,19200,0.1311,60,other,3.45%,IL,MORTGAGE,8333.33,745-749,14,50625,3,2 years,745
98090,22000,22000,0.158,60,debt_consolidation,21.32%,KY,MORTGAGE,5416.67,700-704,9,10267,1,10+ years,700
71142,15000,15000,0.1905,36,debt_consolidation,24.88%,AZ,RENT,6000,675-679,12,12162,0,1 year,675
5282,7000,6965.1,0.1947,36,debt_consolidation,17.08%,NJ,RENT,5000,665-669,11,13859,0,3 years,665
52333,20000,20000,0.089,36,credit_card,17.08%,CO,RENT,4916.67,730-734,10,14952,2,4 years,730
15274,2000,2000,0.0617,36,moving,18.35%,WA,RENT,5733.58,745-749,9,21998,0,3 years,745
32037,18000,17738.58,0.1059,60,major_purchase,15.03%,OH,MORTGAGE,4000,755-759,9,6718,0,10+ years,755
6528,20800,20775,0.1148,36,home_improvement,21.77%,CA,OWN,11666.67,790-794,6,682,1,10+ years,790
10487,9000,8875,0.0788,36,debt_consolidation,14.51%,MA,MORTGAGE,5708.33,725-729,9,12217,0,7 years,725
64690,6000,6000,0.1409,36,credit_card,22.50%,UT,RENT,2666.67,670-674,18,5955,0,10+ years,670
66605,5000,5000,0.158,36,debt_consolidation,34.20%,CA,RENT,3750,665-669,18,5414,3,3 years,665
18512,12000,11975,0.1483,60,credit_card,22.31%,CA,RENT,4186,685-689,9,9398,0,3 years,685
1173,7000,1998,0.08,36,credit_card,6.36%,AZ,MORTGAGE,7583.33,750-754,9,21135,0,10+ years,750
22150,6000,5950,0.1,36,major_purchase,8.74%,FL,MORTGAGE,15416.67,715-719,9,105730,1,10+ years,715
104008,17000,16975,0.1398,36,debt_consolidation,17.65%,TX,MORTGAGE,9166.67,700-704,14,16230,4,3 years,700
4665,12000,11975,0.0894,36,credit_card,18.99%,TX,RENT,4750,750-754,13,25577,1,4 years,750
43053,16350,16350,0.079,36,credit_card,25.03%,MN,OWN,4541.67,730-734,7,25731,0,9 years,730
59192,20000,20000,0.079,36,debt_consolidation,20.04%,TX,MORTGAGE,4625,755-759,14,31335,1,10+ years,755
80538,12300,12300,0.1212,36,debt_consolidation,10.01%,CA,RENT,6583.33,690-694,15,12450,0,1 year,690
78519,4800,4800,0.1311,36,moving,4.61%,TX,RENT,2666.67,690-694,3,7911,0,< 1 year,690
48236,14500,14500,0.079,36,credit_card,11.96%,IL,RENT,4500,735-739,8,16398,0,6 years,735
51833,4200,4200,0.089,36,debt_consolidation,10.43%,CA,MORTGAGE,2254,700-704,7,4490,0,n/a,700
69446,22250,22250,0.1409,36,credit_card,32.10%,MN,MORTGAGE,6583.33,690-694,18,44868,0,10+ years,690
18161,8000,8000,0.1409,36,home_improvement,7.68%,IL,RENT,25000,675-679,6,28579,1,8 years,675
78856,8325,8325,0.1777,36,debt_consolidation,20.75%,MO,RENT,2000,665-669,7,7676,0,< 1 year,665
48412,14000,14000,0.1311,36,debt_consolidation,8.12%,CA,OWN,10416.67,730-734,4,4776,0,7 years,730
60192,9000,9000,0.1016,36,debt_consolidation,3.98%,MD,MORTGAGE,6000,705-709,6,5659,0,7 years,705
97275,16000,16000,0.1311,36,credit_card,17.61%,GA,MORTGAGE,6083.33,680-684,13,15148,0,2 years,680
103218,15200,13694.22,0.1114,36,credit_card,14.50%,AZ,MORTGAGE,7916.67,760-764,7,217827,2,6 years,760
39722,24000,24000,0.1065,36,debt_consolidation,14.80%,CA,RENT,3750,725-729,5,24708,0,10+ years,725
54880,16450,16450,0.1531,36,debt_consolidation,11.66%,OH,MORTGAGE,6666.67,685-689,8,12697,3,9 years,685
81508,7500,7500,0.1212,36,home_improvement,26.56%,NH,MORTGAGE,5000,710-714,8,9047,1,10+ years,710
98671,4750,4750,0.2247,36,debt_consolidation,24.45%,UT,RENT,1333.33,665-669,9,4752,2,< 1 year,665
80765,6500,6500,0.079,36,debt_consolidation,12.56%,AR,RENT,6750,720-724,17,33229,0,8 years,720
103835,5500,5450,0.1867,60,debt_consolidation,17.71%,NY,RENT,1750,660-664,6,4492,6,2 years,660
59041,9600,9600,0.0603,36,home_improvement,7.52%,AL,MORTGAGE,6250,750-754,7,765,0,< 1 year,750
62747,12000,11975,0.1212,36,major_purchase,31.34%,NY,OWN,4166.67,710-714,21,28703,2,3 years,710
34051,2000,2000,0.0751,36,other,16.73%,CA,RENT,1500,730-734,5,2925,0,4 years,730
99360,18000,18000,0.2489,60,moving,14.88%,VT,RENT,4000,665-669,10,7377,3,8 years,665
79126,5825,5825,0.1212,36,home_improvement,4%,AR,OWN,3750,690-694,4,5643,0,1 year,690
103249,2500,2500,0.1531,36,home_improvement,22.81%,VA,RENT,2530,670-674,7,5276,6,< 1 year,670
43700,7200,7200,0.1991,60,other,2%,NY,RENT,5500,660-664,13,2130,0,9 years,660
83155,8000,8000,0.1433,36,other,11.85%,MD,RENT,3941.58,670-674,15,9660,0,2 years,670
16446,25000,24675,0.2077,60,home_improvement,19.12%,TX,MORTGAGE,6000,665-669,17,12757,2,10+ years,665
84110,2500,2500,0.1409,36,medical,20.95%,NY,RENT,2666.67,665-669,9,15787,0,n/a,665
2807,20000,2050,0.1284,36,home_improvement,1.49%,MI,MORTGAGE,3500,750-754,6,1954,5,2 years,750
94386,6250,6250,0.1311,36,debt_consolidation,28.61%,CT,RENT,1779.17,720-724,19,7455,1,3 years,720
49074,12375,12375,0.1367,36,debt_consolidation,22.42%,KS,MORTGAGE,2083.33,680-684,8,12226,0,3 years,680
88558,18000,18000,0.1016,36,debt_consolidation,16.71%,NY,MORTGAGE,6666.67,685-689,16,19850,1,6 years,685
31714,3300,3300,0.0699,36,other,20.04%,IL,RENT,3333.33,760-764,10,0,2,1 year,760
